starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	2	3	6	2
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	3	3	6	1
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	1	4	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	2	4	6	3
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	4	2	6	1
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	3	2	6	2
Thu Apr 27 23:37:08 2017	1493336228	1	4	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	6
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	1	4	6	3
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	2	4	6	2
Thu Apr 27 23:37:08 2017	1493336228	3	3	6	2
Thu Apr 27 23:37:08 2017	1493336228	3	3	6	2
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	4	2	6	1
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	2	4	6	2
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	4	1	6	1
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	3	3	6	2
Thu Apr 27 23:37:08 2017	1493336228	3	3	6	2
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	2	4	6	3
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	1	4	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	1	5	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	6
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	3
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	6
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	6
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	6
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	2	4	6	2
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	2	5	6	3
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	6
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	1	5	6	3
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	2	4	6	3
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	4
Thu Apr 27 23:37:08 2017	1493336228	0	6	6	5
Thu Apr 27 23:37:08 2017	1493336228	4	3	6	1
